,site_id,geometry,name
54,39801,"POLYGON Z ((55.530873995696396 -4.67882272241467 -36.052275605499744, 55.530506644438155 -4.678818340343615 -36.47449964378029, 55.47940636067662 -4.673718112365904 537.1688478924334, 55.47945335363978 -4.673651374120697 538.830718842335, 55.53063120226385 -4.678731487144703 -37.60715150181204, 55.530873995696396 -4.67882272241467 -36.052275605499744))",Mahe Island
55,39901,"POLYGON Z ((42.846517481111555 11.526151019599459 716.6029981067404, 42.84665855766246 11.52632511248666 716.0250707892701, 42.847065289459096 11.526287988371864 711.4011275013909, 42.846517481111555 11.526151019599459 716.6029981067404))",Observatoire Ge
56,40101,"POLYGON Z ((-52.67923424816478 47.59519613829949 155.06231729499996, -52.67830837880758 47.595435459673396 154.51206477824599, -52.67775151833639 47.59524106209521 152.82998439576477, -52.67923424816478 47.59519613829949 155.06231729499996))",ST JOHN'S
57,40104,"POLYGON Z ((-78.07272876465892 45.95549942582367 224.05045168753713, -78.07137029963933 45.95580058267316 200.9511692011729, -78.07031120195472 45.95559015505274 194.99315127544105, -78.07272876465892 45.95549942582367 224.05045168753713))",Algonquin
58,40127,"POLYGON Z ((-114.47931158197233 62.480578808877716 178.89968369156122, -114.48070489337518 62.48089279873883 180.96745298989117, -114.48084746030825 62.48132081592693 181.03295253869146, -114.4798640112309 62.48109415463457 182.2161725787446, -114.47931158197233 62.480578808877716 178.89968369156122))",Yellowknife
59,40400,"POLYGON Z ((-118.12728808425203 34.13670947604884 215.31552772037685, -118.27705302516921 34.18489522004237 246.22857939638197, -118.17334165895484 34.20506000649839 425.12238562386483, -118.05591514222638 34.22612165297043 1705.2888491284102, -118.12728808425203 34.13670947604884 215.31552772037685))",Pasadena - JPL
60,40403,"POLYGON Z ((-118.4042509302969 33.74329141493632 69.35261041857302, -118.40425843336173 33.74329762140453 71.04352807998657, -118.37216742006315 33.77945512490323 259.5830535655841, -118.40356056649198 33.74376601342906 69.39166257530451, -118.4042509302969 33.74329141493632 69.35261041857302))",PALOS VERDES
61,40405,"POLYGON Z ((-116.79446112535491 35.24716371150967 1070.3980207433924, -116.89152424274525 35.33123640948067 896.2707400107756, -116.89173897789023 35.331516851690665 897.9289676230401, -116.88925187808563 35.42515562747392 986.7415787326172, -116.88719715735282 35.42185283118572 973.177749671042, -116.79189680890624 35.248365897515534 1041.1203673426062, -116.79171124199571 35.24756061840578 1043.8494821731001, -116.79446112535491 35.24716371150967 1070.3980207433924))",GOLDSTONE
62,40407,"POLYGON Z ((-116.45880946376282 33.60924994299869 1235.6278442358598, -116.45816266031265 33.61215647371758 1256.1609221436083, -116.45762050593319 33.61214839197018 1258.2868841029704, -116.45880946376282 33.60924994299869 1235.6278442358598))",PINYON FLATS
63,40408,"POLYGON Z ((-147.51246478843655 64.97172054541747 350.6718534408137, -147.51757807592082 64.97230856900906 339.6215583719313, -147.49943180731873 64.97805890625209 319.3626570496708, -147.49751782355156 64.97840914429933 332.08913497719914, -147.51246478843655 64.97172054541747 350.6718534408137))",FAIRBANKS
64,40420,"POLYGON Z ((-120.68207013038204 34.469402866631825 14.883986100554466, -120.61645411604204 34.556312871873914 -11.512926860712469, -120.61642943394251 34.556085773824236 -12.105658948421478, -120.68207013038204 34.469402866631825 14.883986100554466))",VANDENBERG AFB
65,40424,"POLYGON Z ((-159.66543975583764 22.123060690578043 1166.9748095553368, -159.66517527589176 22.12630535423856 1168.304847093299, -159.66510855717223 22.126643702553896 1176.5896750604734, -159.66491345767753 22.12644194398677 1168.5635233148932, -159.664933947542 22.126265906997087 1167.3637421326712, -159.66536957214066 22.123137740707772 1165.7264821566641, -159.66543975583764 22.123060690578043 1166.9748095553368))",Kauai
66,40433,"POLYGON Z ((-120.94443051679417 39.97455325115748 1105.9838678268716, -120.9448119570919 39.97500854518407 1106.2574752764776, -120.94470378524568 39.975000538808445 1106.3235761718825, -120.94443045948587 39.974553719377646 1105.860982723534, -120.94443051679417 39.97455325115748 1105.9838678268716))",QUINCY
67,40439,"POLYGON Z ((-118.28272405658645 37.231457799232146 1200.905590542592, -118.29379761888339 37.23260005950347 1176.8636043304577, -118.2770577108582 37.23164982401134 1196.3095441767946, -118.28272405658645 37.231457799232146 1200.905590542592))",OWENS VALLEY
68,40440,"POLYGON Z ((-71.49379704379908 42.612948940502484 86.76448087021708, -71.48816393417191 42.623297675540805 116.66925458982587, -71.48764662250547 42.622696995842055 92.09679340943694, -71.49332875178516 42.61333611218105 85.02577598765492, -71.49379704379908 42.612948940502484 86.76448087021708))",WESTFORD
69,40441,"POLYGON Z ((-79.84335461854609 38.429585902349466 785.8535364894196, -79.8357817522918 38.43782405587517 812.5400349823758, -79.82552160789086 38.436852137282735 806.6224319851026, -79.81703284936657 38.43012626129271 811.1909965854138, -79.84335461854609 38.429585902349466 785.8535364894196))",Greenbank
70,40442,"POLYGON Z ((-103.94482280437099 30.63502883534177 1606.4145334288478, -103.94733680001767 30.635786566541068 1583.358711806126, -104.02371061127283 30.680316978899672 1890.5844183620065, -104.01499429908462 30.680510588922065 2004.5078268870711, -103.94726518061442 30.63672311082309 1595.082945138216, -103.94482280437099 30.63502883534177 1606.4145334288478))",FORT DAVIS
71,40445,"POLYGON Z ((-156.25692679418262 20.706492123117357 3056.2637471612543, -156.25703000511461 20.706657586437057 3062.0980320023373, -156.25624072056323 20.707416051034617 3072.8599022859707, -156.25592218627156 20.707223762507486 3067.537528927438, -156.25692679418262 20.706492123117357 3056.2637471612543))",MAUI
72,40451,"POLYGON Z ((-77.02440436504558 38.82074732809182 -18.208821358159184, -77.06622677391137 38.91896309310406 48.86176670528948, -77.06631763603058 38.92056453058418 58.98048744164407, -76.82730248361796 39.02202118800901 18.52077501732856, -76.82654486619121 39.02192654398018 13.691104515455663, -76.82745001500602 39.02026977353845 18.476637641899288, -77.02440436504558 38.82074732809182 -18.208821358159184))",Washington
73,40496,"POLYGON Z ((-104.72593918940393 40.181592276987715 1502.8291390240192, -104.72634842162631 40.18279203424332 1501.336086370051, -104.72598165313771 40.18277731382648 1501.1100538605824, -104.72593918940393 40.181592276987715 1502.8291390240192))",PLATTEVILLE
74,40497,"POLYGON Z ((-116.42284802400313 32.89173618332625 1838.8236386636272, -116.42282580922533 32.89176933690579 1838.89414991159, -116.4223522515705 32.89194108556878 1842.5237130289897, -116.42237109232852 32.89185609093063 1842.9549350440502, -116.4226783576986 32.89174151601146 1839.005484172143, -116.42284802400313 32.89173618332625 1838.8236386636272))",Monument Peak
75,40499,"POLYGON Z ((-80.38411614071951 25.61335436922475 -22.60921625420451, -80.38474295713664 25.61374965329924 -11.79731351044029, -80.38609177123358 25.615349806486226 -22.074990143999457, -80.38895928666525 25.6237476996478 -18.53796071279794, -80.38393280610205 25.613779861513002 -15.611900835298002, -80.38411614071951 25.61335436922475 -22.60921625420451))",RICHMOND
76,41507,"POLYGON Z ((-67.75179874747568 -53.78584183498827 34.58506919257343, -67.75188212529567 -53.785814932201404 34.20550471264869, -67.75111749569434 -53.78547093387085 32.04650228936225, -67.7511174307181 -53.78547093356191 32.05198104027659, -67.75105903083757 -53.785835657238756 33.51881852094084, -67.75105902828452 -53.78583571110114 33.522732853889465, -67.75179874747568 -53.78584183498827 34.58506919257343))",Rio Grande
77,41508,"POLYGON Z ((-68.62326839685537 -31.50868267106651 727.3404604829848, -68.62307243780388 -31.50841101640278 725.7841193424538, -68.62315694658037 -31.50862445471014 727.2799031985924, -68.62326839685537 -31.50868267106651 727.3404604829848))",San Juan
78,41602,"POLYGON Z ((-38.425859206688955 -3.877857003037387 23.07390283420682, -38.425613065270475 -3.877444064505584 19.47611343022436, -38.42553770609267 -3.8774456851475603 21.676564662717283, -38.42554113489101 -3.87754713647192 21.734528404660523, -38.425859206688955 -3.877857003037387 23.07390283420682))",Forteleza
79,41609,"POLYGON Z ((-44.98515875340652 -22.687144564850207 617.4114915765822, -45.00198366655632 -22.68274629900228 571.0120128747076, -45.00243996564648 -22.68230188533986 567.1010270323604, -45.00237571762853 -22.682272776360808 566.2664424441755, -44.98515875340652 -22.687144564850207 617.4114915765822))",Cachoeira Pauli
80,41703,"POLYGON Z ((-109.38328289600383 -27.148209885625626 114.53736432082951, -109.38365135472911 -27.147861103691564 120.094976243563, -109.34440487587386 -27.124983311555088 112.49442930612713, -109.38328289600383 -27.148209885625626 114.53736432082951))",Easter Island
81,41705,"POLYGON Z ((-70.53693020411339 -33.395794012858424 895.00057645794, -70.66830727705369 -33.1514707247558 730.376100490801, -70.66855170997455 -33.15028672809161 723.0774887353182, -70.66862530061539 -33.149633988559856 724.5257762027904, -70.66861762513604 -33.14962746127714 723.1007735393941, -70.6684609901509 -33.14962760795556 724.3607295369729, -70.53693020411339 -33.395794012858424 895.00057645794))",Santiago
82,41719,"POLYGON Z ((-73.02547764929396 -36.84375926807087 180.6716937692836, -73.02537459607467 -36.84283734017203 173.45274604018778, -73.02514192286489 -36.84271475152813 170.96175301354378, -73.02547764929396 -36.84375926807087 180.6716937692836))",Concepcion
83,42005,"POLYGON Z ((-90.30366756770115 -0.7429985008471001 1.7882081400603056, -90.30436830513202 -0.7423751503218131 6.741552100516856, -90.30436826500096 -0.7423750723777625 6.7352160811424255, -90.30361382045125 -0.7426942025594986 7.435529923066497, -90.30366756770115 -0.7429985008471001 1.7882081400603056))",Santa Cruz
84,42202,"POLYGON Z ((-71.49300032970837 -16.465772790336946 2490.9211068218574, -71.49311916953366 -16.465739804783407 2492.136777566746, -71.49290137281926 -16.465422096589638 2489.264222195372, -71.49278961158032 -16.465511898908872 2488.8855143254623, -71.49300032970837 -16.465772790336946 2490.9211068218574))",Arequipa
85,43001,"POLYGON Z ((-68.82504537683837 76.53704800637964 36.14147268142551, -68.82364993112446 76.53748691158434 40.174475946463645, -68.78802200438072 76.53733781180715 55.07914864085615, -68.82504537683837 76.53704800637964 36.14147268142551))",Thule
86,49914,"POLYGON Z ((-80.16310748303258 25.732783869543688 -12.142114331945777, -80.16220024628605 25.734691894784685 0.0874570552259684, -80.16017143863344 25.73281024633907 -16.18294688500464, -80.16310748303258 25.732783869543688 -12.142114331945777))",Virginia Key -
87,50103,"POLYGON Z ((148.93951938619543 -35.63650678759323 1348.2510177772492, 148.93951933533236 -35.63650677368253 1348.4663384770975, 148.9393169461126 -35.63624262532315 1350.066237859428, 148.9776878200472 -35.398450903767866 674.3434688681737, 148.97854648560556 -35.395095043612116 685.4960553171113, 148.98126944355016 -35.40241755118246 688.7738153375685, 148.93951938619543 -35.63650678759323 1348.2510177772492))",Tidbinbilla
88,50107,"POLYGON Z ((115.34562812803836 -29.047143582368125 248.2326008277014, 115.34676765551096 -29.046158457186777 243.04954655840993, 115.3471552404943 -29.046490337112747 242.4492003172636, 115.34697787080684 -29.046584442943793 241.37068821117282, 115.34562812803836 -29.047143582368125 248.2326008277014))",Yarragadee
89,50116,"POLYGON Z ((147.43814111631752 -42.80557142508052 40.95217171218246, 147.43873605097423 -42.80470765136619 41.05779664777219, 147.4405209993912 -42.80357708949594 65.08972453325987, 147.43814111631752 -42.80557142508052 40.95217171218246))",Hobart
90,50119,"POLYGON Z ((149.0101566533396 -35.31615602525532 802.4637049268931, 149.0098822886652 -35.31613796378711 804.9795887749642, 149.01005447228098 -35.315528415123175 799.9209288265556, 149.0101566533396 -35.31615602525532 802.4637049268931))",Mount Stromlo
91,50253,"POLYGON Z ((-176.36848356771716 -44.025141377857345 23.842064169235528, -176.3688806567628 -44.02434762455996 23.713757649064064, -176.3688023092195 -44.02429438299607 21.625808773562312, -176.36848356771716 -44.025141377857345 23.842064169235528))",Owenga (Chatham
92,66006,"POLYGON Z ((39.58374249312123 -69.00695702057628 49.99378286022693, 39.578544161548734 -69.00487000395505 42.95732218492776, 39.578544774334 -69.00487001582297 42.91086350847036, 39.57879849126838 -69.00488842361045 46.52317632175982, 39.58628430816713 -69.00632411618419 51.02067887689918, 39.58374249312123 -69.00695702057628 49.99378286022693))",Syowa
